"","Strains","row_id","Plate","PD2_blank","PD2Ca_blank","Variable","OD","Treatment","Day"
"99","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X3",0.00533333333333334,"PD2",0
"100","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X4",0.00533333333333334,"PD2",0
"101","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X5",0.00633333333333334,"PD2",0
"102","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X6",0.00333333333333334,"PD2",0
"103","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X7",0.00533333333333334,"PD2+Ca",0
"104","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X8",0.00633333333333334,"PD2+Ca",0
"105","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X9",0.00633333333333334,"PD2+Ca",0
"106","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X10",0.00533333333333334,"PD2+Ca",0
"107","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X11",0.00633333333333334,"PD2+Ca",0
"108","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X12",0.00533333333333334,"PD2+Ca",0
"109","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X1",0.00533333333333334,"PD2",0
"110","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X2",0.0153333333333333,"PD2",0
"111","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X3",0.00533333333333334,"PD2",0
"112","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X4",0.00633333333333334,"PD2",0
"113","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X5",0.00433333333333334,"PD2",0
"114","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X6",0.00433333333333334,"PD2",0
"115","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X7",0.00533333333333334,"PD2+Ca",0
"116","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X8",0.00533333333333334,"PD2+Ca",0
"117","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X9",0.00533333333333334,"PD2+Ca",0
"118","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X10",0.00533333333333334,"PD2+Ca",0
"119","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X11",0.00533333333333334,"PD2+Ca",0
"120","IVIA53872",15,2,0.109666666666667,0.107666666666667,"X12",0.00633333333333334,"PD2+Ca",0
"121","XF3348",16,2,0.109666666666667,0.107666666666667,"X1",0.0103333333333333,"PD2",0
"122","XF3348",16,2,0.109666666666667,0.107666666666667,"X2",0.0103333333333333,"PD2",0
"123","XF3348",16,2,0.109666666666667,0.107666666666667,"X3",0.0153333333333333,"PD2",0
"124","XF3348",16,2,0.109666666666667,0.107666666666667,"X4",0.0143333333333333,"PD2",0
"125","XF3348",16,2,0.109666666666667,0.107666666666667,"X5",0.0153333333333333,"PD2",0
"126","XF3348",16,2,0.109666666666667,0.107666666666667,"X6",0.0193333333333333,"PD2",0
"127","XF3348",16,2,0.109666666666667,0.107666666666667,"X7",0.0113333333333333,"PD2+Ca",0
"128","XF3348",16,2,0.109666666666667,0.107666666666667,"X8",0.00933333333333335,"PD2+Ca",0
"129","XF3348",16,2,0.109666666666667,0.107666666666667,"X9",0.0113333333333333,"PD2+Ca",0
"130","XF3348",16,2,0.109666666666667,0.107666666666667,"X10",0.0173333333333333,"PD2+Ca",0
"131","XF3348",16,2,0.109666666666667,0.107666666666667,"X11",0.0103333333333333,"PD2+Ca",0
"132","XF3348",16,2,0.109666666666667,0.107666666666667,"X12",0.00833333333333335,"PD2+Ca",0
"133","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X1",0.00233333333333334,"PD2",0
"134","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X2",0.00733333333333334,"PD2",0
"135","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X3",0.00233333333333334,"PD2",0
"136","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X4",0.00533333333333334,"PD2",0
"137","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X5",0.00433333333333334,"PD2",0
"138","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X6",0.00333333333333334,"PD2",0
"139","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X7",0.00233333333333334,"PD2+Ca",0
"140","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X8",0.00433333333333334,"PD2+Ca",0
"141","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X9",0.00233333333333334,"PD2+Ca",0
"142","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X10",0.00333333333333334,"PD2+Ca",0
"143","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X11",0.00333333333333334,"PD2+Ca",0
"144","IVIA5901",17,2,0.109666666666667,0.107666666666667,"X12",0.00433333333333334,"PD2+Ca",0
"145","WM1-1",22,3,0.110416666666667,0.110416666666667,"X1",0.00958333333333333,"PD2",0
"146","WM1-1",22,3,0.110416666666667,0.110416666666667,"X2",0.00758333333333333,"PD2",0
"147","WM1-1",22,3,0.110416666666667,0.110416666666667,"X3",0.00558333333333334,"PD2",0
"148","WM1-1",22,3,0.110416666666667,0.110416666666667,"X4",0.00658333333333334,"PD2",0
"149","WM1-1",22,3,0.110416666666667,0.110416666666667,"X5",0.00958333333333333,"PD2",0
"150","WM1-1",22,3,0.110416666666667,0.110416666666667,"X6",0.00558333333333334,"PD2",0
"151","WM1-1",22,3,0.110416666666667,0.110416666666667,"X7",0.00158333333333334,"PD2+Ca",0
"152","WM1-1",22,3,0.110416666666667,0.110416666666667,"X8",0.00358333333333334,"PD2+Ca",0
"153","WM1-1",22,3,0.110416666666667,0.110416666666667,"X9",0.00258333333333334,"PD2+Ca",0
"154","WM1-1",22,3,0.110416666666667,0.110416666666667,"X10",0.00258333333333334,"PD2+Ca",0
"155","WM1-1",22,3,0.110416666666667,0.110416666666667,"X11",0.00258333333333334,"PD2+Ca",0
"156","WM1-1",22,3,0.110416666666667,0.110416666666667,"X12",0.00258333333333334,"PD2+Ca",0
"157","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X1",0.00258333333333334,"PD2",0
"158","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X2",0.00358333333333334,"PD2",0
"159","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X3",0.00858333333333333,"PD2",0
"160","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X4",0.00658333333333334,"PD2",0
"161","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X5",0.0105833333333333,"PD2",0
"162","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X6",0.0125833333333333,"PD2",0
"163","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X7",0.00658333333333334,"PD2+Ca",0
"164","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X8",0.00858333333333333,"PD2+Ca",0
"165","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X9",0.00758333333333333,"PD2+Ca",0
"166","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X10",0.00458333333333334,"PD2+Ca",0
"167","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X11",0.00358333333333334,"PD2+Ca",0
"168","B3SN17.2",23,3,0.110416666666667,0.110416666666667,"X12",0.00358333333333334,"PD2+Ca",0
"169","TemeculaL",24,3,0.110416666666667,0.110416666666667,"X1",0.00358333333333334,"PD2",0
